state,county,isMetro,parents_count,children_count,housing_cost,food_cost,transportation_cost,childcare_cost,median_family_income
NY,Cortland County,False,1,4,12996.0,10718.89,14636.83,20157.34,72074.98
KS,Ness County,False,2,4,11820.0,12722.31,12947.23,9883.48,65184.97
AL,Cullman County,False,1,0,5928.0,3288.92,13807.44,0.0,58005.4
IA,Webster County,False,1,3,11796.0,8039.5,12574.49,11391.62,65214.75
IA,Decatur County,False,2,1,8580.0,6652.29,15182.37,7011.07,57720.97
FL,Martin County,True,2,4,18532.6656,16530.05,13049.42,13805.05,81306.14
WV,Cabell County,True,2,3,13235.7792,10579.11,11163.45,18882.87,59372.11
MI,Montcalm County,True,1,0,7608.0,3019.16,11258.96,0.0,58634.85
FL,Sumter County,True,2,3,15336.0,12629.04,13462.95,12467.51,72456.95
OH,Adams County,False,1,2,8808.0,6004.01,12597.71,11954.53,50041.34
KY,Nicholas County,False,1,0,5700.0,2853.16,13102.96,0.0,50161.48
LA,Bienville Parish,False,1,1,8700.0,4755.32,13073.78,4236.18,45544.87
OH,Trumbull County,True,1,0,6107.30196,2873.91,9622.2,0.0,61474.02
MI,Houghton County,False,1,3,11916.0,9683.26,12424.31,16319.82,65154.17
KS,Atchison County,False,1,2,8616.0,7056.95,14171.59,8907.15,63679.64
AL,Monroe County,False,1,1,7608.0,4571.83,12048.52,4829.81,50684.13
WY,Albany County,False,2,1,9756.0,8333.12,12808.23,8376.18,82162.52
OH,Franklin County,True,2,3,15823.0956,11164.8,12269.09,18401.0,78474.16
MN,Becker County,False,1,0,5808.0,3403.04,15112.74,0.0,73830.84
IL,Randolph County,False,1,0,5568.0,2718.28,11831.81,0.0,71013.23
MO,Platte County,True,2,1,12981.3588,8001.69,14462.88,8178.27,100689.54
MI,Manistee County,False,1,4,12348.0,11743.22,9589.08,16151.64,62706.21
SC,Union County,True,1,1,8460.0,4281.32,15693.21,5542.44,50070.09
MI,Washtenaw County,True,1,4,19116.0,12401.71,13396.33,24067.57,104837.91
ND,Ward County,False,1,0,7548.0,3392.67,11295.7,0.0,89469.41
OK,Latimer County,False,2,3,11364.0,11347.83,14708.42,16031.17,53576.7
KS,Trego County,False,2,2,8616.0,9294.46,13593.2,8928.99,79065.61
OH,Fayette County,False,2,1,9228.0,6084.12,15058.67,6908.94,58714.94
VA,Albemarle County,True,1,4,20242.4484,12474.88,12909.41,19817.93,105842.15
IN,Madison County,True,1,2,9648.0,6160.83,12269.95,18309.38,63282.26
MT,Dawson County,False,2,1,12000.0,8285.77,14750.08,7573.98,71963.05
NV,Clark County,True,2,2,13716.0,9924.09,15412.28,17251.44,71994.88
MI,Antrim County,False,2,3,12168.0,12775.46,13669.24,16139.2,68512.91
MO,Madison County,False,1,2,7944.0,6407.26,14653.38,8890.39,58502.39
FL,Highlands County,True,2,4,13200.0,14066.22,14310.66,11949.43,51050.71
IA,Boone County,False,2,4,12444.0,13573.45,14580.7,12073.8,79540.0
ID,Canyon County,True,2,2,11272.4502,9024.62,15149.3,14645.71,61812.88
IN,Vigo County,True,2,4,12402.834,12095.15,12242.0,21384.07,62397.14
TX,Mitchell County,False,2,4,11292.0,13259.87,14573.66,9352.26,80383.02
TN,Franklin County,False,1,3,11388.0,9294.73,13010.11,10192.92,61938.15
